lat,lon,grnd,gebco,uncertainty,tid_flag
-19.45649,-23.14408,5460.548,5355.0,569.3,-1
-19.37907,-23.14603,5274.305,5233.0,643.0,-1
-19.29971,-23.21735,5356.768,5232.0,765.9,-1
-19.29948,-23.25307,5260.36,5253.0,753.0,-1
-19.34985,-23.29389,5396.214,5409.0,702.4,-1
-19.49524,-23.52798,5189.571,5597.0,490.3,-1
-19.55627,-23.59957,5539.883,5524.0,451.7,-1
-19.71573,-23.86885,5209.299,5262.0,367.5,-1
-19.52686,-24.09006,5451.802,5359.0,642.2,-1
-19.45586,-24.14225,5135.914,5337.0,707.1,-1
-18.85791,-24.92274,5847.733,5827.0,1251.8,9998
-18.87091,-25.4432,5696.918,5787.0,987.9,-1
-18.77346,-25.5697,5640.879,5657.0,1019.5,-1
-18.67687,-25.57908,5606.137,5541.0,1096.3,-1
-18.65893,-25.62591,5342.027,5445.0,1063.4,-1
-18.65656,-25.4875,5741.041,5730.0,1164.2,-1
-18.63461,-25.25507,5360.654,5347.0,1160.6,-1
-18.67752,-25.21235,5566.902,5526.0,1192.0,-1
-18.66569,-25.18761,5560.608,5540.0,1203.1,-1
-18.68259,-25.0837,5580.754,5534.0,1220.5,-1
-18.69642,-25.06865,5641.485,5594.0,1230.8,9998
-18.9492,-24.88512,5691.374,5680.0,1191.9,9998
-18.71004,-25.0129,5623.368,5683.0,1234.1,9998
-18.56396,-25.13197,5388.988,5322.0,1219.0,-1
-18.00444,-25.42598,5734.47,5690.0,1671.1,9998
-29.99144,-25.07221,3943.244,4922.0,102.3,9998
-29.98839,-25.07557,3942.27,4922.0,104.5,9998
-30.00447,-25.10772,5047.844,5077.0,124.4,9998
-30.00193,-25.09308,5075.787,5094.0,125.1,9998
-29.98178,-25.09917,4797.195,5025.0,134.1,9998
-29.95851,-25.09026,4963.919,4965.0,157.6,9998
-29.94797,-25.08459,4914.319,4895.0,164.4,9998
-29.99334,-24.93671,5380.017,5335.0,133.8,9998
-29.95287,-24.90658,4809.444,4856.0,143.9,9998
-29.94311,-24.95102,4456.31,4633.0,144.6,9998
-30.20264,-24.97731,4294.68,4285.0,57.1,9998
-30.09418,-25.06131,5139.769,5333.0,86.2,9998
-30.06845,-24.84063,4997.359,5038.0,95.7,9998
-30.2038,-25.07302,4704.818,4604.0,66.3,9998
-30.20422,-25.60357,4934.12,4858.0,263.6,9998
-30.01904,-25.84868,4375.722,4740.0,241.7,9998
-29.93989,-25.90921,4551.041,4537.0,263.0,9998
-29.98516,-25.92076,4313.64,4325.0,248.6,9998
-9.33504,-25.10172,3950.244,5860.0,819.7,-1
-9.32023,-25.13624,3948.585,5783.0,822.6,9998
-9.23788,-25.30401,5746.75,5755.0,1241.7,9998
-9.22913,-25.32349,5746.074,5751.0,1248.7,9998
-9.2166,-25.42217,5730.193,5747.0,1257.6,9998
-9.25611,-25.49832,5649.297,5694.0,1206.6,-1
-9.30282,-25.51947,5736.376,5563.0,1179.9,-1
-9.24367,-25.61309,5642.42,5620.0,1220.2,9998
-9.25351,-25.78368,5442.54,5455.0,1167.6,9998
-9.21761,-25.87772,5729.417,5741.0,1297.4,9998
-9.12857,-26.10762,5716.355,5759.0,1508.4,9998
-9.09146,-26.18484,5713.166,5749.0,1610.7,9998
-9.06691,-26.28424,5709.102,5728.0,1705.3,9998
-9.006,-26.29809,5704.752,5720.0,1840.0,9998
-9.23394,-26.34009,5703.747,5725.0,1382.7,-1
-9.03531,-26.3396,5705.425,5716.0,1800.4,9998
-9.06774,-26.24344,5708.811,5760.0,1683.6,9998
-9.09639,-26.47588,5701.832,5704.0,1732.9,9998
-8.90891,-26.4623,5702.346,5663.0,2158.3,-1
-9.1013,-26.60068,5692.435,5674.0,1776.1,9998
-9.13481,-26.52182,5696.498,5701.0,1670.6,9998
-9.11866,-26.43225,5704.831,5712.0,1665.2,9998
-9.18908,-26.40125,5692.711,5723.0,1498.8,9998
-9.09095,-26.20598,5711.422,5758.0,1620.2,9998
-9.20042,-26.09247,5710.92,5718.0,1363.2,9998
-9.3705,-26.05989,5586.098,5697.0,1038.2,-1
-9.2517,-25.79325,5464.261,5453.0,1175.2,9998
-9.24475,-25.82402,5690.086,5649.0,1236.7,9998
-9.21663,-25.81836,5503.827,5576.0,1240.6,9998
-9.22722,-25.74179,5570.129,5593.0,1230.3,9998
-9.18906,-25.70026,5574.594,5515.0,1278.5,9998
-9.05589,-25.89384,5719.758,5724.0,1587.5,9998
-8.89882,-26.01214,5544.01,5449.0,1940.0,9998
-8.88601,-26.23077,5533.931,5553.0,2034.9,9998
-9.23918,-26.27431,5706.749,5715.0,1349.9,9998
-9.13494,-26.35542,5707.057,5732.0,1595.5,9998
-9.26554,-26.30052,5645.517,5589.0,1294.2,9998
-9.14556,-26.14836,5712.77,5755.0,1488.8,9998
-9.11517,-26.21177,5710.643,5731.0,1573.9,9998
-9.08254,-26.3155,5705.902,5725.0,1686.8,9998
-9.11663,-26.33588,5706.382,5729.0,1625.2,9998
-9.11789,-26.21508,5711.902,5729.0,1570.2,9998
-9.17868,-26.10817,5710.826,5749.0,1409.5,9998
-9.119,-26.30548,5706.865,5732.0,1606.3,9998
-9.09242,-26.47439,5702.801,5707.0,1741.1,9998
-9.09756,-26.51123,5697.472,5700.0,1745.8,9998
-9.14041,-26.4984,5696.497,5704.0,1648.0,9998
-9.15749,-26.60098,5695.235,5712.0,1659.8,9998
-9.2416,-26.63606,5694.445,5698.0,1514.1,9998
-9.28264,-26.53215,5657.916,5708.0,1377.3,9998
-9.21248,-26.47475,5670.813,5708.0,1481.4,9998
-9.19878,-26.57005,5697.262,5699.0,1564.2,9998
-9.30908,-26.64708,5696.663,5702.0,1401.7,9998
-9.4145,-26.76485,5685.795,5564.0,1321.0,9998
-9.43943,-26.97041,5671.356,5688.0,1447.4,9998
-9.50826,-27.11768,5670.375,5644.0,1472.2,9998
-9.63998,-27.02945,5650.492,5713.0,1326.8,9998
-9.79891,-26.78098,5686.311,5722.0,1134.3,-1
-9.7352,-26.67394,5690.777,5722.0,1079.7,9998
-9.64929,-26.67177,5688.758,5687.0,1100.1,9998
-9.49913,-26.69247,5603.617,5635.0,1168.6,9998
-9.25545,-26.7493,5691.537,5668.0,1543.4,9998
-9.23142,-26.75781,5690.572,5643.0,1591.0,-1
-9.15809,-26.85862,5688.55,5635.0,1781.0,-1
-9.18159,-26.95844,5683.896,5647.0,1786.3,-1
-9.06644,-26.99654,5683.333,5686.0,1995.1,-1
-8.94289,-27.10209,5671.341,5627.0,2211.1,-1
-9.05585,-27.05838,5680.429,5630.0,2020.4,-1
-9.01169,-27.31985,5582.473,5524.0,2051.3,-1
-9.14521,-27.13311,5681.577,5638.0,1885.4,-1
-9.16371,-27.18337,5679.927,5624.0,1865.2,-1
-9.18368,-27.24202,5677.018,5592.0,1846.7,-1
-9.10656,-27.36933,5657.653,5645.0,1940.3,-1
-8.93932,-27.45267,5647.313,5625.0,2145.4,-1
-8.75015,-27.48446,5645.987,5674.0,2368.6,9998
-9.05876,-27.63184,5644.389,5662.0,1911.6,9998
-9.32181,-27.66132,5637.078,5639.0,1632.6,-1
-9.41007,-27.67702,5633.962,5593.0,1572.8,9998
-9.15313,-27.7141,5640.788,5648.0,1751.7,9998
-8.91542,-27.67679,5630.942,5649.0,2073.1,9998
-8.98744,-27.60238,5641.686,5672.0,2019.2,9998
-9.12774,-27.54394,5652.321,5670.0,1868.2,9998
-9.22161,-27.35281,5663.447,5686.0,1807.8,9998
-9.35228,-27.1338,5668.464,5686.0,1612.6,9998
-9.30223,-26.89798,5682.23,5634.0,1558.9,-1
-9.10841,-26.60801,5641.182,5656.0,1748.3,9998
-9.32894,-26.751,5690.653,5707.0,1423.6,9998
